OperatorInfo/Title;UsageType/Title;AddressInfo/Title;AddressInfo/AddressLine1;AddressInfo/AddressLine2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;Connections/0/ConnectionType/Title;Connections/0/Level/Title;Connections/0/Amps;Connections/0/Voltage;Connections/0/PowerKW
AMB (Àrea metropolitana de Barcelona);Public - Membership Required;EdRR AMB Barbera del valles;Carrer d'Arquimedes;6;41.51076434;2.132713751;4;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public;Pdr espai tolra;Carrer de Portugal;Airesol C;41.60898986;2.08527901;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Hotel Spa Vilavella;Hotel Spa Vilavella;;42.038277;-7.016485;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Barcelo Caceres V Centenario;Manuel Pacheco;;39.473875;-6.398395;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;Restaurante Cocinandos;Plaza de San Marcos;;42.601971;-5.58136;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;14
Tesla Motors (Worldwide);Public - Membership Required;H10 Punta Negra;C/ Punta Negra;;39.527597;2.552744;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Morada Da Moa;Carretera General Cee - Carnota;;42.893194;-9.134705;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;B&B Hotel Mollet;Avenida Rabassaires;;41.541727;2.222785;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Cimbel;Avenida Europa;;38.536044;-0.120739;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;H10 Art Gallery;Enric Granados;;41.392123;2.157059;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Hotel Catalonia Reina Victoria Wellness & Spa;Calle Jerez;;36.746889;-5.169294;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;Bodegas la Rioja Alta;Av. Vizcaya;;42.584482;-2.846937;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Y Casas Can Bassa;Carretera de la Pera;;41.989807;2.958141;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Membership Required;Hotel Alga;Avenida Joan Pericot I Garcia;;41.89169;3.184338;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Parador de Soria;Parador de Soria;;41.762577;-2.457695;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;6
Tesla Motors (Worldwide);Public - Membership Required;La Posada del Buen Camino;Calle de la Cruz;;41.354917;-5.76976;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;8
Tesla Motors (Worldwide);Public - Membership Required;Hotel H10 Estepona Palace;Av. del Carmen;;36.41735;-5.172977;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Iberdrola;Public - Membership Required;E.S. Adenor Canet D'en Berenguer;Avinguda Mediterrani, 16;Canet d'en Berenguer;39.67918402;-0.217188198;1;CHAdeMO;Level 3:  High (Over 40kW);120;400;50
Fenie Energía (Spain);Public - Membership Required;Centro de Exposiciones Y Congresos Lienzo Norte (toma Mennekes Temporalmente Fuera de Servicio);Centro de Exposiciones Y Congresos Lienzo Norte (toma Mennekes Temporalmente Fuera de Servicio);;40.659927;-4.705191;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7
(Business Owner at Location);Public - Notice Required;Ingema SL;Polígono Industrial;;39.36499158;-5.404755545;3;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
POLAR (UK);Public - Membership Required;Hotel Ciudad Arcóbriga-Autovía del Nordeste;Hotel Ciudad Arcóbriga-Autovía del Nordeste;;41.30785;-2.122392;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
POLAR (UK);Public - Membership Required;Hotel Mavi-Av. de la Cabrera;Hotel Mavi-Av. de la Cabrera;;40.855923;-3.612783;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
EDP;Public - Membership Required;E.S. Adenor-Cudillero (EDP-AVIA);Carretera Nacional 632, km.123.7;;43.55480068;-6.166483479;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public;EdRR Tortosa;Avinguda de la Generalitat, 72;;40.8076215;0.5200715;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public - Membership Required;Aparcament Edifici Estació;Carrer de Salmerón, 9;;41.56456573;2.019606045;2;Mennekes (Type 2);;;;
(Unknown Operator);Private - For Staff, Visitors or Customers;Hotel Don Candido;Rambleta del Pare Alegre, 98;;41.55250666;2.0083402;4;Mennekes (Type 2);;;;
(Unknown Operator);Public;PDR terrassa plaza;Carrer de Navarra;Ca n'Anglada;41.56347222;2.035527444;8;CEE 7/4 - Schuko - Type F;Level 2 : Medium (Over 2kW);;;
(Unknown Operator);Public - Notice Required;Aparcament Sant Leopold;Carrer de Sant Leopold, 33;;41.56708751;2.012898401;6;CEE 7/4 - Schuko - Type F;;;;
(Unknown Operator);Public - Notice Required;Aparcament Progrés;Plaça del Progrés, 1;Ca n'Aurell;41.56053568;2.005964731;4;CEE 7/4 - Schuko - Type F;;;;
(Unknown Operator);Private - Restricted Access;Ajuntament de Terrassa;Plaça de l'Ajuntament, 1;;41.56326587;2.0104258;1;Unknown;;;;
EDP;Public;E.S. Tapia de Casariego - Avia (Adenor);Calle Parc. 18;;43.5618739;-6.9231243;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public - Membership Required;EdRR Vandellòs i l'Hospitalet de l'Infant;Carretera de Móra, 5, L'Hospitalet de l'Infant;;40.9919174;0.9214682;4;CHAdeMO;Level 3:  High (Over 40kW);;;50
Iberdrola;Public;E. S. Adenor Murrieta I - AVIA;Avenida de Burgos 49;;42.4614755;-2.4695715;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
Iberdrola;Public;E. S. Lopez Araquistain Navajas - AVIA;Bebricio 71;;42.3062815;-1.9713434;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
Iberdrola;Public;E. S. Zona  Auto Tudela -AVIA;Corella, 10;;42.0633118;-1.616554;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
